Nombre,Tipo,Lugar,Fecha
Encontro Internacional Sub20 en Pista Cuberta 2018/2019,PC,Minsk - Bielorrusia,23/02/2019
II Campionato de España de Inverno de Lanzamentos Longos Máster,Pista AL,Madrid,23/02/2019
IV Campionato de España de Inverno de Lanzamentos Longos Menores,Pista AL,Castellón,23/02/2019
LXII Campionato de Galicia Sub18 – Sub20 en Pista Cuberta,PC,Ourense,23/02/2019
XVII Padrón 10 Km.,Ruta,Padrón,23/02/2019
VIII Campionato de Galicia de Inverno Absoluto de Lanzamentos Longos,Pista AL,Pontevedra,23/02/2019
LIV Campionato de España de Campo a Través por Clubs,CT,Linares,24/02/2019
XII Campionato de Galicia Sub10 – Sub12 – Sub14 en Pista Cuberta,PC,Ourense,24/02/2019
I Cros de Antioquía – Campionato Provincial de Ourense de Campo a Través 2019,CT,Sandiás,24/02/2019
III Andaina Ourense C.F.,Ruta,Ourense,24/02/2019
XXXV Campionato de Europa en Pista Cuberta,PC,Glasgow - Gran Bretaña,01/03/2019
IX Campionato de España de Inverno de Lanzamentos Longos,Pista AL,Xaén,02/03/2019
XLVI Campionato de España Sub20 en Pista Cuberta,PC,Madrid,02/03/2019
XXXII Campionato de Galicia Sub16 en Pista Cuberta,PC,Ourense,02/03/2019
IV Carreira Pedestre de Disfraces e Festa de Entroido,Ruta,Trazo,02/03/2019
XXX Campionato de Galicia Máster en Pista Cuberta,PC,Ourense,03/03/2019
Trail e Andaina Ribeiras do Tambre – Concello de Ames,Trail,Ames,03/03/2019
XXX Campionato de España Máster en Pista Cuberta,PC,Ourense,08/03/2019
IV 102 Km. O Carballiño – Santiago de Compostela,Ruta,"Carballiño, O",09/03/2019
XIX Copa de Europa de Lanzamentos,Pista AL,Samorin - Eslovaquia,09/03/2019
XLI Campionato de España Sub18 en Pista Cuberta,PC,Valencia,09/03/2019
CI Campionato de España de Campo a Través,CT,Cáceres,10/03/2019
VIII Carreira Pedestre Concello de Camariñas,Ruta,Camariñas,10/03/2019
I Cros de San Cidre,CT,Toques,10/03/2019
XXXII Campionato de España Sub16 en Pista Cuberta,PC,Sabadell,16/03/2019
Xogade – Atletismo Pista – INF – Combinadas ALE – A Coruña 2018/2019,Pista AL,A Coruña,16/03/2019
Xogade – Atletismo Pista – BEN – Combinadas INF – Santiago 2018/2019,Pista AL,"Pobra do Caramiñal, A",16/03/2019
XLIV Campionato de España Máster de Campo a Través Individual – Clubs – Relevos,CT,Collado Villalba,17/03/2019
LXXI Campionato de España de 20 Km. Marcha Absoluto – Sub23 H – M,Marcha,Oropesa,17/03/2019
XIII 10 Km. Concello de O Porriño,Ruta,"Porriño, O",17/03/2019
Campionato de Galicia de 5 Km. en Ruta 2018/2019,Ruta,"Pontes de García Rodríguez, As",17/03/2019
XXIX Carreira San Xosé – IV Corre por Elas,Ruta,"Pontes de García Rodríguez, As",17/03/2019
VI Trofeo Once Enki Arceclima,Pista AL,Oleiros,22/03/2019
IX Carreira Popular Torre de Hércules,Ruta,Ver competiciones relacionadas,23/03/2019
Xogade – Atletismo Pista – 1ª Fase Previa Valdeorras 2018/2019,Pista AL,"Barco de Valdeorras, O",23/03/2019
Xogade – Atletismo Pista – ALE – Combinadas BEN – Ferrol 2018/2019,Pista AL,Ferrol,23/03/2019
Xogade – Atletismo Pista – INF – Combinadas ALE – Santiago 2018/2019,Pista AL,Ribeira,23/03/2019
I Control de Marcas – Valdeorras 2018/2019,Pista AL,"Barco de Valdeorras, O",23/03/2019
Cros Solidario en favor da Investigación de Duchenne e Becker “Unha tarde con Samuel”,CT,Santiago de Compostela,23/03/2019
I Campionato de España de Trail por Federacións Autonómicas,Trail,Murcia,24/03/2019
Campionato do Mundo Máster en Pista Cuberta 2018/2019,PC,Torum - Polonia,24/03/2019
V Carreira Solidaria LADESOL,Ruta,Vilagarcía de Arousa,24/03/2019
Campionato de Galicia de 10.000 m. 2018/2019,Pista AL,Marín,24/03/2019
VIII Trofeo Club Deportivo Aurum,Pista AL,Ourense,24/03/2019
XLIII Campionato do Mundo de Campo a Través,CT,Aarhus - Dinamarca,30/03/2019
V Carreira Popular “De Dous en Dous”,Ruta,Carballo,30/03/2019
Xogade – Atletismo Pista – ALE – Combinadas BEN – Santiago 2018/2019,Pista AL,Ribeira,30/03/2019
Xogade – Atletismo Pista – BEN – Combinadas INF – A Coruña 2018/2019,Pista AL,Oleiros,30/03/2019
Xogade – Atletismo Pista – BEN – ALE – Vigo 2018/2019,Pista AL,Vigo,30/03/2019
Xogade – Atletismo Pista – 1ª Fase Ourense 2018/2019,Pista AL,"Pereiro de Aguiar, O",30/03/2019
I Liga Individual de Lanzamentos Longos – 4ª Xornada,Pista AL,Ver competiciones relacionadas,30/03/2019
XXVIII Campionato de España de Medio Maratón Absoluto,Ruta,San Cugat,31/03/2019
IX Carreira Pedestre de Vimianzo,Ruta,Vimianzo,31/03/2019
Xogade – Atletismo Pista – BEN – ALE – 1ª Fase Previa Lugo 2018/2019,Pista AL,Lugo,31/03/2019
XXXII Reconquista – Trofeo Antonio Fernández – 2018/2019,Pista AL,Vigo,31/03/2019
Xogade – Atletismo Pista – 2ª Fase Previa Valdeorras 2018/2019-SUSPENDIDO,Pista AL,"Barco de Valdeorras, O",06/04/2019
I Carreira Popular Faro Roncudo,Ruta,Ponteceso,06/04/2019
Xogade – Atletismo Pista – INF – Combinadas ALE – Ferrol 2018/2019,Pista AL,Ferrol,06/04/2019
Xogade – Atletismo Pista – ALE – Combinadas BEN – Santiago 2018/2019,Pista AL,"Pobra do Caramiñal, A",06/04/2019
Xogade – Atletismo Pista – INF – Vigo 2018/2019,Pista AL,Vigo,06/04/2019
Xogade – Atletismo Pista – 2ª Fase Ourense 2018/2019,Pista AL,"Pereiro de Aguiar, O",06/04/2019
I Encontro C.A.Sada – S.G.Pontevedra – Pontevedra 2018/2019,Pista AL,Pontevedra,06/04/2019
II Control de Marcas – Valdeorras 2018/2019 – SUSPENDIDO,Pista AL,"Barco de Valdeorras, O",06/04/2019
XI Campionato de Galicia de Milla en Ruta  2019,Ruta,Santiago de Compostela,07/04/2019
I Carreira de Relevos “Manos Unidas”,Ruta,Santiago de Compostela,07/04/2019
Xogade – Atletismo Pista – 2ª Fase Previa Lugo 2018/2019,Pista AL,Lugo,07/04/2019
II Milla Urbana Portas de Compostela,Ruta,Santiago de Compostela,07/04/2019
V Carreira Universitaria Solidaria – Campus na Nube – Run4Med,Ruta,Santiago de Compostela,11/04/2019
Campionato de España de Fondo en Pista – Trofeo Ibérico 2018/2019,Pista AL,Burjassot,13/04/2019
X Campionato de España de Milla en Ruta Absoluto – Máster,Ruta,Sagunto,13/04/2019
III Milla Nocturna Concello de Mugardos,Ruta,Mugardos,13/04/2019
Xogade – Atletismo Pista – ALE – Combinadas BEN – A Coruña 2018/2019,Pista AL,A Coruña,13/04/2019
Carreira Pedestre Batalla de Cacheiras 2019,Ruta,Teo,13/04/2019
XXXVI Copa Deputación Ourense Atletismo,Pista AL,Ver competiciones relacionadas,13/04/2019
XXXVI Copa Deputación Ourense Atletismo – 1ª Xornada,Pista AL,Ver competiciones relacionadas,13/04/2019
XII Campionato de Galicia de Maratón – VIII C42 Maratón Atlántica e 10Km,Ruta,"Coruña, A",14/04/2019
XL Carreira Popular Pascua de Padrón,Ruta,Padrón,20/04/2019
IV Circuíto de Pista Concello de Vigo,Pista AL,Ver competiciones relacionadas,21/04/2019
IV Circuíto de Pista Concello de Vigo – 1ª Xornada Series Municipais,Pista AL,Ver competiciones relacionadas,21/04/2019
I Clásica Gandeira de Santa Comba,Ruta,Santa Comba,21/04/2019
XXI Campionato de Galicia de Clubs,Pista AL,Ferrol,27/04/2019
VII Carreira Pedestre Concello de Oroso,Ruta,Oroso,27/04/2019
Xogade – Atletismo Pista – BEN – Combinadas INF – Ferrol 2018/2019,Pista AL,Ferrol,27/04/2019
Xogade – Atletismo Pista – BEN – Combinadas INF – Santiago 2018/2019,Pista AL,"Pobra do Caramiñal, A",27/04/2019
Xogade – Atletismo Pista – INF – Cangas 2018/2019,Pista AL,Cangas,27/04/2019
I Carreira Popular Concello de Gondomar,Ruta,Gondomar,27/04/2019
Xogade – Atletismo Pista – 3ª Fase Ourense 2018/2019,Pista AL,"Pereiro de Aguiar, O",27/04/2019
VII Carreira Popular de Friol,Ruta,Friol,27/04/2019
Xogade – Atletismo Pista – 3ª Fase Previa Lugo 2018/2019,Pista AL,Lugo,28/04/2019
Xogade – Atletismo Pista – 3ª Fase Previa Valdeorras 2018/2019,Pista AL,"Barco de Valdeorras, O",01/05/2019
VI Carreira Pedestre Popular Concello de Frades,Ruta,Frades,01/05/2019
IX Copa Deputación Lugo – 4ª Xornada,Pista AL,Ver competiciones relacionadas,01/05/2019
XIII Memorial Eugenio Torres – Trofeo AVA,Pista AL,Vigo,01/05/2019
XXXVI Copa Deputación Ourense Atletismo – 2ª Xornada,Pista AL,Ver competiciones relacionadas,01/05/2019
V Carreira Nocturna SantYago 10 Km.,Ruta,Santiago de Compostela,04/05/2019
XXXVI Campionato de Galicia de Clubs Sub16 – Sub20,Pista AL,,04/05/2019
Carreira Nocturna de Cedeira 2019,Ruta,Cedeira,04/05/2019
Xogade – Atletismo Pista – INF – Combinadas ALE – Santiago 2018/2019,Pista AL,Ribeira,04/05/2019
Xogade – Atletismo Pista – BEN – ALE – Vigo 2018/2019,Pista AL,Vigo,04/05/2019
Xogade – Atletismo Pista – 4ª Fase Ourense 2018/2019,Pista AL,"Pereiro de Aguiar, O",04/05/2019
XII Baixada Popular de Cros San Pedro de Visma,Ruta,Ver competiciones relacionadas,05/05/2019
Volta á Ría de Betanzos 2019,Ruta,Betanzos,05/05/2019
Xogade – Atletismo Pista – INF – Vilagarcía de Arousa 2018/2019,Pista AL,Vilagarcía de Arousa,05/05/2019
Xogade – Atletismo Pista – 4ª Fase Previa Lugo 2018/2019,Pista AL,Lugo,05/05/2019
IX Circuíto Correndo x Ourense,Ruta,Ver competiciones relacionadas,05/05/2019
IX Circuíto Correndo x Ourense – Carreira do Vinteún,Ruta,Ver competiciones relacionadas,05/05/2019
I Carreira Popular Concello de Cospeito,Ruta,Cospeito,05/05/2019
VIII Trofeo Marineda Atlético – I Memorial José Area,Pista AL,"Coruña, A",10/05/2019
Campionato de España de Clubs 2018/2019 – División de Honor,Pista AL,Ver competiciones relacionadas,11/05/2019
Campionato de España de Clubs 2018/2019 – Primeira División,Pista AL,Ver competiciones relacionadas,11/05/2019
Campionato de España de Clubs 2018/2019 – División de Honor – 1ª Xornada,Pista AL,Ver competiciones relacionadas,11/05/2019
Campionato de España de Clubs 2018/2019 – Primeira División – 1ª Xornada,Pista AL,Ver competiciones relacionadas,11/05/2019
IAAF World Relays 2019,Pista AL,Yokohama - Xapón,11/05/2019
XVI Carreira Pedestre Concello de O Pino,Ruta,"Pino, O",11/05/2019
IX Copa Deputación Lugo – 5ª Xornada,Pista AL,Ver competiciones relacionadas,11/05/2019
XII Campionato de Galicia de 10 Km. en Ruta,Ruta,Xinzo de Limia,12/05/2019
IV Carreira Pedestre Concello de Mazaricos,Ruta,Mazaricos,12/05/2019
Xogade – Atletismo Pista – Campionato Provincial A Coruña BEN – ALE – Combinadas INF 2018/2019,Pista AL,"Pobra do Caramiñal, A",12/05/2019
Xogade – Atletismo Pista – INF – Pontevedra 2018/2019,Pista AL,Pontevedra,12/05/2019
Xogade – Atletismo Pista – Campionato Provincial Lugo 2018/2019,Pista AL,Lugo,12/05/2019
XLVI Trofeo Boa Vila – XXXII Trofeo Froiz 2ª Xornada,Pista AL,Pontevedra,15/05/2019
VI Carreira Camiño das Letras,Ruta,Santiago de Compostela,17/05/2019
VIII Campionato de Galicia de Clubs Sub10 – Sub12 – Sub14,Pista AL,"Barco de Valdeorras, O",17/05/2019
XXXIII Campionato de España de Clubs Sub20,Pista AL,,18/05/2019
Campionato de España Máster de Milla – 10.000 m. – Péntatlon Lanzamentos – Combinadas 2018/2019,Pista AL,Madrid,18/05/2019
XLI Campionato de España de Federacións Autonómicas de Probas Combinadas,Pista AL,,18/05/2019
Ourense Termal Athletics Meeting 2019,Pista AL,Ourense,18/05/2019
Xogade – Atletismo Pista – 4ª Fase Previa Valdeorras 2018/2019,Pista AL,"Barco de Valdeorras, O",18/05/2019
IV Circuíto de Pista Concello de Vigo – 2ª Xornada Series Municipais,Pista AL,Ver competiciones relacionadas,18/05/2019
XIII Copa de Europa de Marcha,Marcha,Alytus - Lituania,19/05/2019
IV Correcán Solidario Cancoruña,Ruta,"Coruña, A",19/05/2019
Xogade – Atletismo Pista – BEN – ALE – Pontevedra 2018/2019,Pista AL,Pontevedra,19/05/2019
V Campionato de Galicia de Trail,Trail,"Pobra do Caramiñal, A",19/05/2019
VIII Carreira Popular Ría do Burgo,Ruta,Culleredo,19/05/2019
XLIII Copa de Europa de Clubs – Grupo A,Pista AL,Castellón,25/05/2019
XII Carreira Pedestre de Campañó,Ruta,Pontevedra,25/05/2019
LXVII Campionato de Galicia Sub18 – XVIII Campionato de Galicia Sub16 en Pista ao Aire Libre,Pista AL,,25/05/2019
Xogade – Atletismo Pista – Campionato Provincial – INF – Pontevedra 2018/2019,Pista AL,Pontevedra,25/05/2019
V Carreira Pedestre Concello de Dumbría,Ruta,Dumbría,25/05/2019
Campionato de España de Medio Maratón Máster 2018/2019,Ruta,Ortigueira - Cariño,25/05/2019
